Point Name,Northing,Easting,Elevation,Point Code,Operator Name,Device Name,Device Serial Number,Firmware Version,Horizontal Precision,Vertical Precision,Work Order Name,Time,Date,Target Height,Record Type,Sub Type,Design N,Design E,Design Elev,Cut/Fill(+/-),Horz Deviation,Thickness,Design Station,Design Offset,Measured Station,Measured Offset,Tolerance,High Tolerance,Low Tolerance,Precision Type,HA/Lat,VA/Long,SD/WGSHt,H Offset,V Offset,Source N,Source E,Source Z,Offset Dir,Selected Alignment,Selected Design,Custom1,Custom2,Custom3,Custom4,Custom5,Custom6,Custom7,Custom8,Custom9,Design Offset,Design Offset Type,PDOP,HDOP,VDOP,GPS Time(UTC),GPS Date(UTC),Tilt Angle,Tilt Error,Tilt Tolerance,Depth,Fault Find Signal,Locate Current,Phase,Signal Strength,Gain,Frequency(Hz),Current Direction,Mode,File Index,Applied Depth,Heading,Pole-tip Lat,Pole-tip Long,Pole-tip Ht.,APC Lat,APC Long,APC Ht,Pitch,Roll,Site Bearing,Machine,Machine Type,Attachment,Attachment Focus Point,Sensor Pitch,Sensor Roll,Sensor Correction Angle,Calculated Attachment Angle
100,620962.880,3042325.337,28.367,CP1,,,,,,,2025-06-24 Storm Topo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,620257.693,3041215.901,30.199,CP2,,,,,,,2025-06-24 Storm Topo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,621337.034,3042797.943,27.866,CP3,,,,,,,2025-06-24 Storm Topo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,621308.411,3042755.231,27.967,CP4,,,,,,,2025-06-24 Storm Topo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,620273.291,3041172.979,29.275,CP5,,,,,,,2025-06-24 Storm Topo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topo1,620791.128,3041780.152,29.867,CB INV -2.76FT,,Trimble SPS986,6111F01355,6.25,0.020,0.044,2025-06-24 Storm Topo,08:44:07,06/24/2025,6.562,Topo,Point,,,,,,,,,,,,,,RTK Fixed,30.12.1757865,-92.05.2443071,-59.360,,,,,,,,,,,,,,,,,,,,5.617,2.656,4.949,13:43:22.800,06/24/2025,----,----,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topo2,620873.107,3041781.806,29.394,CB INV -3.54FT,,Trimble SPS986,6111F01355,6.25,0.031,0.075,2025-06-24 Storm Topo,08:54:48,06/24/2025,6.562,Topo,Point,,,,,,,,,,,,,,RTK Fixed,30.12.1839024,-92.05.2441803,-59.835,,,,,,,,,,,,,,,,,,,,5.682,2.641,5.031,13:54:29.400,06/24/2025,----,----,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topo3,620874.652,3041703.557,30.080,CB INV -4.89FT,,Trimble SPS986,6111F01355,6.25,0.231,0.490,2025-06-24 Storm Topo,09:03:21,06/24/2025,6.562,Topo,Point,,,,,,,,,,,,,,RTK Float,30.12.1840041,-92.05.2530991,-59.149,,,,,,,,,,,,,,,,,,,,5.679,2.691,5.001,14:03:07.600,06/24/2025,----,----,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topo4,620874.908,3041710.165,29.785,CB INV -4.89FT,,Trimble SPS986,6111F01355,6.25,0.033,0.077,2025-06-24 Storm Topo,09:03:39,06/24/2025,6.562,Topo,Point,,,,,,,,,,,,,,RTK Fixed,30.12.1840339,-92.05.2523461,-59.444,,,,,,,,,,,,,,,,,,,,5.641,2.654,4.978,14:03:37.600,06/24/2025,----,----,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topo5,620759.340,3041632.676,29.759,CB INV -3.425FT,,Trimble SPS986,6111F01355,6.25,0.030,0.084,2025-06-24 Storm Topo,09:09:31,06/24/2025,6.562,Topo,Point,,,,,,,,,,,,,,RTK Fixed,30.12.1725434,-92.05.2610901,-59.469,,,,,,,,,,,,,,,,,,,,4.854,2.378,4.231,14:09:21.800,06/24/2025,----,----,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
